timestamp,open,high,low,close,volume
2026-01-02 15:00:00,128.63,129.44,127.35,128.89,245919.27
2026-01-02 16:00:00,128.89,131.69,128.59,130.84,397868.79
2026-01-02 17:00:00,130.84,132.37,130.64,131.37,242610.52
2026-01-02 18:00:00,131.37,131.96,130.27,130.75,139116.99
2026-01-02 19:00:00,130.75,131.72,130.58,131.56,114297.67
2026-01-02 20:00:00,131.56,132.06,130.79,131.08,109299.34
2026-01-02 21:00:00,131.08,132.06,131.08,131.86,49590.25
2026-01-02 22:00:00,131.86,133.16,131.84,132.59,123555.34
2026-01-02 23:00:00,132.59,132.7,131.86,132.25,69545.89
2026-01-03 00:00:00,132.25,132.9,132.21,132.49,48712.43
2026-01-03 01:00:00,132.49,132.91,132.32,132.6,44629.0
2026-01-03 02:00:00,132.6,133.04,132.04,132.83,53425.05
2026-01-03 03:00:00,132.83,133.11,132.15,132.79,62178.04
2026-01-03 04:00:00,132.79,132.85,132.15,132.32,34776.34
2026-01-03 05:00:00,132.32,132.47,131.59,131.85,36183.5
2026-01-03 06:00:00,131.85,132.24,131.03,131.15,33714.07
2026-01-03 07:00:00,131.15,131.34,129.57,130.06,71150.7
2026-01-03 08:00:00,130.06,131.0,129.76,130.65,55626.13
2026-01-03 09:00:00,130.65,131.4,130.35,131.13,27978.06
2026-01-03 10:00:00,131.13,131.19,130.73,130.91,35357.26
2026-01-03 11:00:00,130.91,130.94,130.42,130.65,17873.7
2026-01-03 12:00:00,130.65,130.86,130.44,130.83,18959.9
2026-01-03 13:00:00,130.83,131.32,130.75,131.23,25362.66
2026-01-03 14:00:00,131.23,132.1,131.08,131.93,52201.35
2026-01-03 15:00:00,131.93,131.94,131.18,131.4,41019.23
2026-01-03 16:00:00,131.4,131.93,131.4,131.7,34550.95
2026-01-03 17:00:00,131.7,131.95,131.58,131.82,21581.92
2026-01-03 18:00:00,131.82,132.06,131.55,131.89,44282.7
2026-01-03 19:00:00,131.89,131.89,131.6,131.72,18248.82
2026-01-03 20:00:00,131.72,131.97,131.3,131.94,22685.9
2026-01-03 21:00:00,131.94,132.99,131.76,132.81,53815.82
2026-01-03 22:00:00,132.81,133.89,132.55,133.38,80783.17
2026-01-03 23:00:00,133.38,133.7,133.06,133.32,35002.19
2026-01-04 00:00:00,133.32,134.82,133.28,134.52,120430.37
2026-01-04 01:00:00,134.52,134.69,133.39,133.91,61375.81
2026-01-04 02:00:00,133.91,133.96,133.45,133.68,41535.35
2026-01-04 03:00:00,133.68,134.64,133.64,134.58,54653.82
2026-01-04 04:00:00,134.58,134.82,134.21,134.27,52711.42
2026-01-04 05:00:00,134.27,134.57,134.25,134.52,25518.4
2026-01-04 06:00:00,134.52,134.94,133.66,133.72,59179.44
2026-01-04 07:00:00,133.72,134.09,133.65,133.78,29418.62
2026-01-04 08:00:00,133.78,134.11,133.19,134.06,48773.86
2026-01-04 09:00:00,134.06,134.52,133.81,134.28,29605.9
2026-01-04 10:00:00,134.28,134.8,134.17,134.63,37566.58
2026-01-04 11:00:00,134.63,134.63,134.14,134.34,21054.21
2026-01-04 12:00:00,134.34,134.83,134.16,134.29,29973.63
2026-01-04 13:00:00,134.29,134.49,133.72,134.47,28098.95
2026-01-04 14:00:00,134.47,134.92,134.2,134.91,59264.09
2026-01-04 15:00:00,134.91,135.32,134.26,134.66,68032.83
