timestamp,open,high,low,close,volume
2025-10-08,121414.53,124254.95,121116.33,123358.65,25262.59
2025-10-09,123358.65,123818.95,119741.93,121713.94,26848.29
2025-10-10,121713.94,122586.57,105833.75,112998.91,63865.23
2025-10-11,112998.91,113462.03,109711.01,110779.65,38127.92
2025-10-12,110779.65,115849.48,109708.26,115084.73,36833.57
2025-10-13,115084.73,116064.34,113754.71,115279.04,30207.33
2025-10-14,115279.04,115514.54,109983.29,113097.76,39286.64
2025-10-15,113097.76,113679.91,110229.66,110819.47,30171.93
2025-10-16,110819.47,112027.41,107501.51,108212.4,44973.38
2025-10-17,108212.4,109278.91,103552.05,106485.41,48249.26
2025-10-18,106485.41,107544.75,106382.73,107228.76,11815.48
2025-10-19,107228.76,109508.08,106146.21,108701.79,18116.25
2025-10-20,108701.79,111743.25,107486.38,110583.29,27390.05
2025-10-21,110583.29,114069.11,107500.34,108387.11,40819.23
2025-10-22,108387.11,109181.59,106750.91,107604.16,34388.98
2025-10-23,107604.16,111341.37,107527.17,110114.95,22351.32
2025-10-24,110114.95,111967.35,109742.29,111046.29,19795.99
2025-10-25,111046.29,111960.99,110709.35,111671.84,5949.66
2025-10-26,111671.84,115420.91,111281.45,114559.89,13255.98
2025-10-27,114559.89,116395.5,113855.65,114115.08,18980.68
2025-10-28,114115.08,116105.23,112249.3,112930.68,20610.35
2025-10-29,112930.68,113669.5,109339.16,110064.53,25061.43
2025-10-30,110064.53,111617.77,106319.98,108326.41,33363.2
2025-10-31,108326.41,111081.78,108295.99,109580.94,24417.33
2025-11-01,109580.94,110513.95,109378.81,110104.4,6377.31
2025-11-02,110104.4,111199.6,109485.51,110564.52,11170.49
2025-11-03,110564.52,110748.58,105315.16,106580.38,34536.33
2025-11-04,106580.38,107289.91,98932.13,101493.23,57282.41
2025-11-05,101493.23,104543.57,98978.04,103893.5,35631.18
2025-11-06,103893.5,104201.89,100266.6,101302.75,32306.54
2025-11-07,101302.75,104039.73,99207.58,103301.61,38050.15
2025-11-08,103301.61,103353.75,101453.48,102304.79,13228.46
2025-11-09,102304.79,105466.47,101415.54,104721.32,17136.04
2025-11-10,104721.32,106648.26,104270.97,105988.36,23693.26
2025-11-11,105988.36,107489.75,102465.73,103033.54,22618.21
2025-11-12,103033.54,105327.79,100818.69,101660.22,23740.26
2025-11-13,101660.22,104048.87,97956.87,99644.14,44584.48
2025-11-14,99644.14,99836.81,94006.67,94531.81,64051.76
2025-11-15,94531.81,96761.57,94516.28,95555.28,18574.48
2025-11-16,95555.28,96574.81,93006.43,94244.44,26755.82
2025-11-17,94244.44,95973.02,91244.75,92141.25,48309.81
2025-11-18,92141.25,93785.83,89289.38,92946.24,50671.19
2025-11-19,92946.24,92963.84,88529.93,91483.02,48242.24
2025-11-20,91483.02,93082.73,86019.03,86553.58,56931.35
2025-11-21,86553.58,87404.99,80562.05,85087.62,89136.71
2025-11-22,85087.62,85562.12,83462.76,84696.98,23440.3
2025-11-23,84696.98,88106.69,84639.73,86823.45,27848.78
2025-11-24,86823.45,89227.26,85242.01,88288.33,44709.41
2025-11-25,88288.33,88494.81,86089.7,87340.82,32065.82
2025-11-26,87340.82,90634.17,86298.47,90487.28,30484.49
2025-11-27,90487.28,91934.77,90083.46,91327.26,21381.51
2025-11-28,91327.26,93116.85,90242.43,90917.53,28364.69
2025-11-29,90917.53,91201.7,90211.19,90842.76,9605.76
2025-11-30,90842.76,91983.85,90363.83,90381.34,11291.12
2025-12-01,90381.34,90443.38,83828.42,86302.37,56213.9
2025-12-02,86302.37,92332.31,86199.69,91315.07,45736.14
2025-12-03,91315.07,94192.91,91041.2,93464.62,41538.16
2025-12-04,93464.62,94089.06,90913.17,92106.94,28655.33
2025-12-05,92106.94,92717.53,88116.59,89352.03,32962.38
2025-12-06,89352.03,90291.46,88942.96,89262.3,10824.34
2025-12-07,89262.3,91783.95,87756.05,90413.99,19003.3
2025-12-08,90413.99,92303.63,89623.92,90661.73,29264.71
2025-12-09,90661.73,94617.1,89530.61,92701.41,33300.59
2025-12-10,92701.41,94506.56,91582.52,92038.34,31975.44
2025-12-11,92038.34,93581.1,89281.34,92546.9,34699.18
2025-12-12,92546.9,92774.35,89499.86,90277.47,23943.19
2025-12-13,90277.47,90655.09,89789.11,90262.18,4873.94
2025-12-14,90262.18,90495.22,87605.5,88169.62,13925.51
2025-12-15,88169.62,90044.99,85149.06,86421.58,32063.56
